#Table 6 
#F99 Reddening in Different Bandpasses
#
#
#Bandpass	lambda_eff	R_V				Bandpass	lambda_eff	R_V				
#		2.1	3.1	4.1	5.1			2.1	3.1	4.1	5.1	
Band            lambda_eff  R_V_2.1 R_V_3.1 R_V_4.1 R_V_5.1 
WFC3_F850LP 	9149.7	1.168	1.208	1.226	1.237	
ACS_clear	    6211.1	2.612	2.436	2.356	2.309	
ACS_F435W	    4348.3	4.330	3.610	3.278	3.087	
ACS_F475W	    4760.3	3.787	3.268	3.028	2.890	
ACS_F550M	    5581.0	2.754	2.620	2.558	2.522	
ACS_F555W	    5361.3	3.031	2.792	2.682	2.618	
ACS_F606W	    5901.0	2.555	2.471	2.431	2.409	
ACS_F625W	    6298.1	2.171	2.219	2.241	2.254	
ACS_F775W	    7673.5	1.520	1.629	1.679	1.708	
ACS_F814W	    8012.4	1.432	1.526	1.569	1.594	
ACS_F850LP  	9007.5	1.196	1.243	1.265	1.277	
DES_g	        4796.6	3.739	3.237	3.006	2.872	
DES_r	        6382.6	2.113	2.176	2.205	2.221	
DES_i	        7769.0	1.490	1.595	1.644	1.672	
DES_z	        9108.2	1.175	1.217	1.236	1.247	
DES_Y	        9850.4	1.051	1.058	1.061	1.063
